Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location
19-25846,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/24/2019,06/03/2019,16300030200,EXO-TIKKA INDIAN CUSINE,,5385  MT VIEW RD,ANTIOCH,TN,37013.00000,32,37015629,"5385 MT VIEW RD
ANTIOCH, TN 37013
(36.047649, -86.648119)"
16-20340,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/18/2016,09/23/2016,09114025000,Las Palmas Mexican Restaurant,"Las Palmas Mexican Restaurant Inc, Qurino Onate",5821  Charlotte PIKE,Nashville,TN,37209.00000,20,37018101,"5821 Charlotte PIKE
Nashville, TN 37209
(36.149076, -86.863105)"
17-00205,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",11/03/2016,07/10/2017,09112001600,Fat Bottom Brewing,Fat Bottom Brewing Inc,800  44th AVE N,Nashville,TN,37209.00000,20,37013300,"800 44th AVE N
Nashville, TN 37209
(36.157013, -86.839825)"
19-25920,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/06/2019,06/13/2019,11714013900,NASHVILLE CIGAR,686 Bluberry Hill Road,4001  HILLSBORO PIKE,NASHVILLE,TN,37215.00000,25,37017901,"4001 HILLSBORO PIKE
NASHVILLE, TN 37215
(36.104329, -86.815039)"
19-25985,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/22/2019,06/13/2019,08305018200,TAILGATE BREWERY EAST NASHVILLE,,811  GALLATIN AVE,NASHVILLE,TN,37206.00000,6,37011700,"811 GALLATIN AVE
NASHVILLE, TN 37206
(36.186415, -86.74721)"
17-25076,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/07/2017,03/02/2018,09111005800,BARE BONES BUTCHER,,906  51ST AVE N,NASHVILLE,TN,37209.00000,20,37013300,"906 51ST AVE N
NASHVILLE, TN 37209
(36.158192, -86.84889)"
20-26815,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/10/2020,08/27/2020,10501008900,MCDOUGAL'S CHICKEN FINGERS & WINGS,,901  12TH AVE S,NASHVILLE,TN,37203.00000,17,37016300,"901 12TH AVE S
NASHVILLE, TN 37203
(36.147073, -86.785805)"
20-26461,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/30/2020,04/10/2020,09310039700,DRURY PLAZA HOTEL NASHVILLE DOWNTOWN,,300  KOREAN VETERANS BLVD,NASHVILLE,TN,37201.00000,19,37019500,"300 KOREAN VETERANS BLVD
NASHVILLE, TN 37201
(36.157191, -86.774733)"
20-26522,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/28/2020,04/09/2020,08213015200,WALGREENS #18085,,1104  ROSA L PARKS BLVD,NASHVILLE,TN,37208.00000,19,37019400,"1104 ROSA L PARKS BLVD
NASHVILLE, TN 37208
(36.173518, -86.791534)"
T21-27326,TEMPORARY,BBPERMIT,ONSALES,BB - On Site Sales,07/07/2021,,09306403100,JOHNNY CASH'S BAR & BBQ,,121  3RD AVE S,NASHVILLE,TN,37201.00000,19,37019500,"121 3RD AVE S
NASHVILLE, TN 37201
(36.16082, -86.775492)"
