,Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Address,City,State,Zip,Mapped Location
0,19-25846,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/24/2019,06/03/2019,16300030200,EXO-TIKKA INDIAN CUSINE,5385  MT VIEW RD,ANTIOCH,TN,37013.0,"5385 MT VIEW RD
ANTIOCH, TN 37013
(36.047649, -86.648119)"
1,16-20340,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/18/2016,09/23/2016,09114025000,Las Palmas Mexican Restaurant,5821  Charlotte PIKE,Nashville,TN,37209.0,"5821 Charlotte PIKE
Nashville, TN 37209
(36.149076, -86.863105)"
2,17-00205,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",11/03/2016,07/10/2017,09112001600,Fat Bottom Brewing,800  44th AVE N,Nashville,TN,37209.0,"800 44th AVE N
Nashville, TN 37209
(36.157013, -86.839825)"
3,19-25920,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/06/2019,06/13/2019,11714013900,NASHVILLE CIGAR,4001  HILLSBORO PIKE,NASHVILLE,TN,37215.0,"4001 HILLSBORO PIKE
NASHVILLE, TN 37215
(36.104329, -86.815039)"
4,19-25985,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/22/2019,06/13/2019,08305018200,TAILGATE BREWERY EAST NASHVILLE,811  GALLATIN AVE,NASHVILLE,TN,37206.0,"811 GALLATIN AVE
NASHVILLE, TN 37206
(36.186415, -86.74721)"
5,17-25076,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/07/2017,03/02/2018,09111005800,BARE BONES BUTCHER,906  51ST AVE N,NASHVILLE,TN,37209.0,"906 51ST AVE N
NASHVILLE, TN 37209
(36.158192, -86.84889)"
6,20-26815,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/10/2020,08/27/2020,10501008900,MCDOUGAL'S CHICKEN FINGERS & WINGS,901  12TH AVE S,NASHVILLE,TN,37203.0,"901 12TH AVE S
NASHVILLE, TN 37203
(36.147073, -86.785805)"
7,20-26461,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/30/2020,04/10/2020,09310039700,DRURY PLAZA HOTEL NASHVILLE DOWNTOWN,300  KOREAN VETERANS BLVD,NASHVILLE,TN,37201.0,"300 KOREAN VETERANS BLVD
NASHVILLE, TN 37201
(36.157191, -86.774733)"
8,20-26478,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/07/2020,04/10/2020,06115031700,HENRY JAMES,3807  GALLATIN PIKE,NASHVILLE,TN,37216.0,"3807 GALLATIN PIKE
NASHVILLE, TN 37216
(36.214491, -86.730474)"
9,19-26404,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/19/2019,04/13/2020,16100028100,SAL'S FAMILY PIZZA,5545  EDMONDSON PIKE,NASHVILLE,TN,37211.0,"5545 EDMONDSON PIKE
NASHVILLE, TN 37211
(36.041417, -86.743793)"
10,19-25924,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/07/2019,06/13/2019,10602000600,VARIOUS ARTISTS BREWING COMPANY,1011  ELM HILL PIKE,NASHVILLE,TN,37210.0,"1011 ELM HILL PIKE
NASHVILLE, TN 37210
(36.14398, -86.736393)"
11,19-26014,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/07/2019,06/13/2019,10408011400,SUSHI 88,2119  BELCOURT AVE,NASHVILLE,TN,37212.0,"2119 BELCOURT AVE
NASHVILLE, TN 37212
(36.136784, -86.802506)"
12,19-26208,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/16/2019,11/01/2019,09310043900,INFINITY HOSPITALITY INC.,400  4TH AVE S,NASHVILLE,TN,37201.0,"400 4TH AVE S
NASHVILLE, TN 37201
(36.156825, -86.774481)"
13,19-26205,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/15/2019,11/01/2019,10700012900,Embassy Suites By Hilton Nashville Airport,10  CENTURY BLVD,NASHVILLE,TN,37214.0,"10 CENTURY BLVD
NASHVILLE, TN 37214
(36.144714, -86.686523)"
14,20-26438,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/20/2020,04/13/2020,16300036700,HAMPTON INN,210  CROSSINGS PL,ANTIOCH,TN,37013.0,"210 CROSSINGS PL
ANTIOCH, TN 37013
(36.044401, -86.64822)"
15,20-26457,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/29/2020,04/13/2020,08216006900,JOYLAND,901  WOODLAND ST  101,NASHVILLE,TN,37206.0,"901 WOODLAND ST 101
NASHVILLE, TN 37206
(36.175138, -86.75611)"
16,20-26472,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/05/2020,08/27/2020,11905011900,NASHVILLE HOOKAH BAR,2521A  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,"2521A NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.117664, -86.748591)"
17,19-25907,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/03/2019,06/14/2019,17212010600,DEEP SOUTH GROWLERS,6900  LENOX VILLAGE DR  6,NASHVILLE,TN,37211.0,"6900 LENOX VILLAGE DR 6
NASHVILLE, TN 37211
(36.025525, -86.712036)"
18,19-26022,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/09/2019,06/14/2019,09309016800,VIRAGO,1120  MCGAVOCK ST,NASHVILLE,TN,37203.0,"1120 MCGAVOCK ST
NASHVILLE, TN 37203
(36.155867, -86.78605)"
19,19-25960,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/28/2019,06/14/2019,10510030200,LOVE PEACE & PHO,2112  8TH AVE S,NASHVILLE,TN,37204.0,"2112 8TH AVE S
NASHVILLE, TN 37204
(36.131462, -86.778867)"
20,19-26000,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/29/2019,06/14/2019,09116037300,Another Broken Egg Cafe,4111  CHARLOTTE AVE,NASHVILLE,TN,37209.0,"4111 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.152385, -86.83657)"
21,19-26003,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/01/2019,06/14/2019,09507015500,DoubleTree Suites by Hilton Nashville Airport,2424  ATRIUM WAY,NASHVILLE,TN,37214.0,"2424 ATRIUM WAY
NASHVILLE, TN 37214
(36.159506, -86.690275)"
22,15-20036,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/29/2014,01/06/2015,09314059200,City Winery Nashville,609  Lafayette ST,Nashville,TN,37203.0,"609 Lafayette ST
Nashville, TN 37203
(36.153413, -86.775945)"
23,19-25967,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/08/2019,06/18/2019,08205015400,O-KU SUSHI,81  VAN BUREN ST,NASHVILLE,TN,37208.0,"81 VAN BUREN ST
NASHVILLE, TN 37208
(36.181976, -86.785124)"
24,20-26772,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/13/2020,02/25/2021,10402033700,FAIRFIELD INN & SUITES NASHVILLE/VANDERBILT,109  29TH AVE N,NASHVILLE,TN,37203.0,"109 29TH AVE N
NASHVILLE, TN 37203
(36.145474, -86.813878)"
25,20-26422,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/13/2020,04/14/2020,08209005400,SMOKEHOUSE ON SIXTH,1318  6TH AVE N,NASHVILLE,TN,37208.0,"1318 6TH AVE N
NASHVILLE, TN 37208
(36.177498, -86.791023)"
26,19-25958,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/28/2019,06/19/2019,09310048700,JW Marriott,201  8TH AVE S,NASHVILLE,TN,37203.0,"201 8TH AVE S
NASHVILLE, TN 37203
(36.15658, -86.780634)"
27,20-26463,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/03/2020,04/14/2020,10314002600,Reserva Cigars,73  WHITE BRIDGE PIKE,NASHVILLE,TN,37205.0,"73 WHITE BRIDGE PIKE
NASHVILLE, TN 37205"
28,20-26507,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/20/2020,04/14/2020,083060C01200CO,GRAZE NASHVILLE,1888  EASTLAND AVE,NASHVILLE,TN,37206.0,"1888 EASTLAND AVE
NASHVILLE, TN 37206
(36.182617, -86.735459)"
29,19-25995,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/25/2019,11/07/2019,09314026000,FAT KAT SLIMS,730  8TH AVE S,NASHVILLE,TN,37203.0,"730 8TH AVE S
NASHVILLE, TN 37203
(36.149329, -86.779146)"
30,19-26015,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/07/2019,06/21/2019,093061F10100CO,CHILE BURRITO,162  4TH AVE N 101,NASHVILLE,TN,37219.0,"162 4TH AVE N 101
NASHVILLE, TN 37219
(36.163343, -86.778704)"
31,20-26508,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/20/2020,04/16/2020,09216018300,FLATIRON NASHVILLE,1929  BROADWAY,NASHVILLE,TN,37203.0,"1929 BROADWAY
NASHVILLE, TN 37203
(36.149258, -86.798415)"
32,19-26390,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/06/2019,04/20/2020,10507044700,BENTO BOX,1281  3RD AVE S,NASHVILLE,TN,37210.0,"1281 3RD AVE S
NASHVILLE, TN 37210
(36.141876, -86.763414)"
33,19-26262,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/12/2019,11/07/2019,08309013800,THE TREEHOUSE,1011  CLEARVIEW AVE,NASHVILLE,TN,37206.0,"1011 CLEARVIEW AVE
NASHVILLE, TN 37206
(36.177713, -86.750535)"
34,19-26036,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/17/2019,11/07/2019,08207013900,RED HEADED STRANGER,305  ARRINGTON ST,NASHVILLE,TN,37207.0,"305 ARRINGTON ST
NASHVILLE, TN 37207
(36.184928, -86.767957)"
35,19-26306,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/06/2019,11/07/2019,04405019400,FULL THROTTLE BAR & GRILL,333  SWINGING BRIDGE RD,OLD HICKORY,TN,37138.0,"333 SWINGING BRIDGE RD
OLD HICKORY, TN 37138
(36.271819, -86.662748)"
36,19-25866,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/01/2019,06/27/2019,104060A15000CO,WOODLANDS INDIAN CUISINE,3415  WEST END AVE  101B,NASHVILLE,TN,37203.0,"3415 WEST END AVE 101B
NASHVILLE, TN 37203
(36.138506, -86.820007)"
37,19-25996,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/27/2019,06/27/2019,09306203000,ANOTHER BROKEN EGG CAFE,208  COMMERCE ST,NASHVILLE,TN,37201.0,"208 COMMERCE ST
NASHVILLE, TN 37201
(36.163036, -86.776565)"
38,19-25991,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/24/2019,06/27/2019,08209041300,WALDOS CHICKEN GERMANTOWN,1120  4TH AVE N 103,NASHVILLE,TN,37208.0,"1120 4TH AVE N 103
NASHVILLE, TN 37208
(36.17571, -86.786731)"
39,19-26004,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/01/2019,06/27/2019,11714015900,EMMY SQUARED GREEN HILLS,3821  GREEN HILLS VILLAGE DR,NASHVILLE,TN,37215.0,"3821 GREEN HILLS VILLAGE DR
NASHVILLE, TN 37215
(36.1086, -86.815498)"
40,18-25790,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/30/2018,06/27/2019,08305012900,"SMOKERS ABBEY, LLC",604  GALLATIN AVE  101,NASHVILLE,TN,37206.0,"604 GALLATIN AVE 101
NASHVILLE, TN 37206
(36.182791, -86.748804)"
41,19-26049,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/21/2019,06/27/2019,07300003700,GRAND OLE OPRY,2804  OPRYLAND DR,NASHVILLE,TN,37214.0,"2804 OPRYLAND DR
NASHVILLE, TN 37214
(36.20958, -86.691799)"
42,21-27046,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/15/2021,02/25/2021,10801006800,SONESTA SELECT NASHVILLE AIRPORT SUITES,1100  AIRPORT CENTER DR,NASHVILLE,TN,37214.0,"1100 AIRPORT CENTER DR
NASHVILLE, TN 37214
(36.144122, -86.663486)"
43,19-26299,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/02/2019,11/07/2019,09309010700,The Mockingbird Nashville,121A  12TH AVE N,NASHVILLE,TN,37203.0,"121A 12TH AVE N
NASHVILLE, TN 37203
(36.157575, -86.788123)"
