,permit_number,permit_subtype,date_entered,date_issued,business_name,zip,latitude,longitude,permit_duration
0,19-25846,ONSALES,2019-01-24,2019-06-03,EXO-TIKKA INDIAN CUSINE,37013,36.047649,-86.648119,789 days
1,16-20340,ONSALES,2016-05-18,2016-09-23,Las Palmas Mexican Restaurant,37209,36.149076,-86.863105,1772 days
2,19-25920,ONOFFSALES,2019-03-06,2019-06-13,NASHVILLE CIGAR,37215,36.104329,-86.815039,779 days
3,19-25985,ONOFFSALES,2019-04-22,2019-06-13,TAILGATE BREWERY EAST NASHVILLE,37206,36.186415,-86.74721,779 days
4,17-25076,ONSALES,2017-06-07,2018-03-02,BARE BONES BUTCHER,37209,36.158192,-86.84889,1247 days
5,20-26815,ONSALES,2020-06-10,2020-08-27,MCDOUGAL'S CHICKEN FINGERS & WINGS,37203,36.147073,-86.785805,338 days
6,20-26461,ONOFFSALES,2020-01-30,2020-04-10,DRURY PLAZA HOTEL NASHVILLE DOWNTOWN,37201,36.157191,-86.774733,477 days
7,20-26478,ONSALES,2020-02-07,2020-04-10,HENRY JAMES,37216,36.214491,-86.730474,477 days
8,19-26404,ONSALES,2019-12-19,2020-04-13,SAL'S FAMILY PIZZA,37211,36.041417,-86.743793,474 days
9,19-25924,ONOFFSALES,2019-03-07,2019-06-13,VARIOUS ARTISTS BREWING COMPANY,37210,36.14398,-86.736393,779 days
10,19-26014,ONSALES,2019-05-07,2019-06-13,SUSHI 88,37212,36.136784,-86.802506,779 days
11,19-26208,ONSALES,2019-08-16,2019-11-01,INFINITY HOSPITALITY INC.,37201,36.156825,-86.774481,638 days
12,19-26205,ONSALES,2019-08-15,2019-11-01,Embassy Suites By Hilton Nashville Airport,37214,36.144714,-86.686523,638 days
13,20-26438,ONSALES,2020-01-20,2020-04-13,HAMPTON INN,37013,36.044401,-86.64822,474 days
14,20-26457,ONSALES,2020-01-29,2020-04-13,JOYLAND,37206,36.175138,-86.75611,474 days
15,20-26472,ONSALES,2020-02-05,2020-08-27,NASHVILLE HOOKAH BAR,37211,36.117664,-86.748591,338 days
16,19-25907,ONOFFSALES,2019-03-03,2019-06-14,DEEP SOUTH GROWLERS,37211,36.025525,-86.712036,778 days
17,19-26022,ONSALES,2019-05-09,2019-06-14,VIRAGO,37203,36.155867,-86.78605,778 days
18,19-25960,ONSALES,2019-03-28,2019-06-14,LOVE PEACE & PHO,37204,36.131462,-86.778867,778 days
19,19-26000,ONSALES,2019-04-29,2019-06-14,Another Broken Egg Cafe,37209,36.152385,-86.83657,778 days
20,19-26003,ONSALES,2019-05-01,2019-06-14,DoubleTree Suites by Hilton Nashville Airport,37214,36.159506,-86.690275,778 days
21,15-20036,ONSALES,2014-07-29,2015-01-06,City Winery Nashville,37203,36.153413,-86.775945,2398 days
22,19-25967,ONSALES,2019-04-08,2019-06-18,O-KU SUSHI,37208,36.181976,-86.785124,774 days
23,20-26772,ONSALES,2020-05-13,2021-02-25,FAIRFIELD INN & SUITES NASHVILLE/VANDERBILT,37203,36.145474,-86.813878,156 days
24,20-26422,ONOFFSALES,2020-01-13,2020-04-14,SMOKEHOUSE ON SIXTH,37208,36.177498,-86.791023,473 days
25,19-25958,ONSALES,2019-03-28,2019-06-19,JW Marriott,37203,36.15658,-86.780634,773 days
26,20-26507,ONSALES,2020-02-20,2020-04-14,GRAZE NASHVILLE,37206,36.182617,-86.735459,473 days
27,19-25995,ONSALES,2019-04-25,2019-11-07,FAT KAT SLIMS,37203,36.149329,-86.779146,632 days
28,19-26015,ONSALES,2019-05-07,2019-06-21,CHILE BURRITO,37219,36.163343,-86.778704,771 days
29,20-26508,ONSALES,2020-02-20,2020-04-16,FLATIRON NASHVILLE,37203,36.149258,-86.798415,471 days
30,19-26390,ONOFFSALES,2019-12-06,2020-04-20,BENTO BOX,37210,36.141876,-86.763414,467 days
31,19-26262,ONSALES,2019-09-12,2019-11-07,THE TREEHOUSE,37206,36.177713,-86.750535,632 days
32,19-26036,ONSALES,2019-05-17,2019-11-07,RED HEADED STRANGER,37207,36.184928,-86.767957,632 days
33,19-26306,ONSALES,2019-10-06,2019-11-07,FULL THROTTLE BAR & GRILL,37138,36.271819,-86.662748,632 days
34,19-25866,ONSALES,2019-02-01,2019-06-27,WOODLANDS INDIAN CUISINE,37203,36.138506,-86.820007,765 days
35,19-25996,ONSALES,2019-04-27,2019-06-27,ANOTHER BROKEN EGG CAFE,37201,36.163036,-86.776565,765 days
36,19-25991,ONSALES,2019-04-24,2019-06-27,WALDOS CHICKEN GERMANTOWN,37208,36.17571,-86.786731,765 days
37,19-26004,ONSALES,2019-05-01,2019-06-27,EMMY SQUARED GREEN HILLS,37215,36.1086,-86.815498,765 days
38,18-25790,ONSALES,2018-11-30,2019-06-27,"SMOKERS ABBEY, LLC",37206,36.182791,-86.748804,765 days
39,19-26049,ONSALES,2019-05-21,2019-06-27,GRAND OLE OPRY,37214,36.20958,-86.691799,765 days
40,21-27046,ONOFFSALES,2021-01-15,2021-02-25,SONESTA SELECT NASHVILLE AIRPORT SUITES,37214,36.144122,-86.663486,156 days
41,19-26299,ONSALES,2019-10-02,2019-11-07,The Mockingbird Nashville,37203,36.157575,-86.788123,632 days
42,19-25980,ONSALES,2019-04-17,2019-11-08,LOSER'S BAR & GRILL DOWNTOWN,37201,36.160507,-86.776825,631 days
43,19-26265,ONSALES,2019-09-16,2019-11-08,Lakeside Lounge,37206,36.175532,-86.755081,631 days
44,19-25906,ONSALES,2019-03-01,2019-06-27,JUICY SEAFOOD,37076,36.180692,-86.606423,765 days
45,19-25931,ONSALES,2019-03-12,2019-06-27,Downtown Sporting Club,37203,36.160811,-86.777712,765 days
46,19-25928,ONSALES,2019-03-07,2019-11-08,SAM'S PLACE,37205,36.097271,-86.873104,631 days
47,21-27035,ONOFFSALES,2021-01-07,2021-02-25,SHEP'S DELICATESSEN,37206,36.178298,-86.751402,156 days
48,20-26536,ONSALES,2020-03-11,2020-08-28,RUBY SUNSHINE,37212,36.136759,-86.800864,337 days
49,18-25793,ONSALES,2018-12-04,2019-06-28,HOLIDAY INN 4th & PEABODY,37201,36.156293,-86.774114,764 days
50,19-25860,ONSALES,2019-01-30,2019-06-28,CILANTRO FIVE POINTS MEXICAN GRILL,37206,36.177851,-86.752304,764 days
51,19-26057,SPECIAL,2019-05-23,2019-07-01,MUSIC CITY HOT CHICKEN FESTIVAL,37206,36.17332,-86.760862,761 days
52,19-25886,ONOFFSALES,2019-02-19,2019-11-12,YAZOO BREWING COMPANY,37115,36.275885,-86.68761,627 days
53,19-25973,ONSALES,2019-04-11,2019-11-12,THE EASTERN PEAK--GOSSETT,37203,36.158168,-86.788841,627 days
54,19-26344,ONSALES,2019-11-01,2020-04-23,FROTHY MONKEY,37206,36.173123,-86.739631,464 days
55,20-26495,ONSALES,2020-02-14,2020-04-23,BROOKLYN BOWL NASHVILLE,37201,36.172659,-86.783184,464 days
56,19-26101,ONSALES,2019-06-24,2019-07-11,CHAR RESTAURANT,37215,36.10495,-86.814464,751 days
57,17-25127,ONSALES,2017-07-14,2017-08-10,HAMPTON INN & SUITES NASHVILLE AIRPORT,37214,36.143063,-86.666577,1451 days
58,19-25923,ONSALES,2019-03-06,2019-08-28,BRENTWOOD SUITES HOTEL,37027,36.033528,-86.779253,703 days
59,19-26048,ONOFFSALES,2019-05-20,2019-07-11,THE BLACK ABBEY BREWING COMPANY,37204,36.105978,-86.755864,751 days
60,18-25808,ONOFFSALES,2018-12-18,2019-07-11,SOUTHERN GRIST BREWING COMPANY,37206,36.188892,-86.729083,751 days
61,18-25740,ONSALES,2018-10-22,2019-07-11,TEMPO,37211,36.127859,-86.753649,751 days
62,19-26297,ONSALES,2019-10-02,2019-11-21,CHAATABLE,37209,36.151982,-86.833824,618 days
63,18-25771,ONSALES,2018-11-09,2019-11-21,WINGSTOP,37203,36.151985,-86.803387,618 days
64,20-26534,ONSALES,2020-03-10,2020-04-23,PALM RESTAURANT-NASHVILLE,37201,36.159159,-86.777556,464 days
65,18-25766,ONSALES,2018-11-07,2019-07-12,GAYLORD OPRYLAND HOTEL - SOUNDWAVES,37214,36.211694,-86.697639,750 days
66,19-26020,ONSALES,2019-05-08,2019-07-12,Courtyard by Marriott Green Hills,37215,36.109442,-86.81974,750 days
67,20-26485,ONSALES,2020-02-10,2020-04-24,Holiday Inn Express,37208,36.188357,-86.795528,463 days
68,19-25835,ONSALES,2019-01-14,2019-07-17,THE LOCAL DISTRO,37208,36.181208,-86.794852,745 days
69,19-26098,ONSALES,2019-06-21,2019-08-29,U.S. BORDER CANTINA,37221,36.074158,-86.922316,702 days
70,18-25780,ONSALES,2018-11-26,2019-08-29,THE DIVE MOTEL,37207,36.199118,-86.770413,702 days
71,19-26099,ONSALES,2019-06-21,2019-08-29,JOHNNY CASH'S KITCHEN & SALOON,37201,36.16082,-86.775492,702 days
72,21-27078,ONOFFSALES,2021-02-09,2021-04-30,GRAMS,37115,36.264372,-86.729318,92 days
73,19-26157,ONSALES,2019-07-19,2019-08-29,NEIGHBORS SYLVAN PARK,37209,36.141014,-86.840092,702 days
74,19-26126,ONSALES,2019-07-01,2019-08-29,ZA WOOD-FIRED PIZZA,37212,36.136776,-86.799682,702 days
75,21-27048,ONOFFSALES,2021-01-16,2021-05-14,"EASTWOOD DELI CO, LLC",37206,36.182609,-86.735366,78 days
76,20-26446,ONSALES,2020-01-22,2020-04-27,Marisqueria Vallarta Mexican Grill,37211,36.087082,-86.6967,460 days
