,Zip_Code,Total_Population,Total_Male_Population,Total_Female_Popularion,18+,18+Male,18+Female
1,37013,97939,47658,50281,59479,27984,31495
2,37027,56117,27888,28229,39146,19094,20052
3,37067,29543,14462,15081,20448,9573,10875
4,37072,31492,15327,16165,24099,11489,12610
5,37076,40161,19600,20561,30384,14353,16031
6,37078,380,194,186,350,174,176
7,37080,7394,3703,3691,5988,3076,2912
8,37115,40343,19376,20967,27390,12606,14784
9,37135,14256,6919,7337,9515,4777,4738
10,37138,23784,11320,12464,17799,8591,9208
11,37189,4016,1642,2374,3196,1283,1913
12,37201,1619,1245,374,1475,1132,343
13,37203,15091,7412,7679,12679,6154,6525
14,37204,15452,6908,8544,12294,5498,6796
15,37205,23790,10824,12966,19366,8780,10586
16,37206,26382,12473,13909,20213,9555,10658
17,37207,39544,17866,21678,27146,11945,15201
18,37208,18011,7917,10094,13835,5881,7954
19,37209,38664,18251,20413,29326,13363,15963
20,37210,17248,8731,8517,11023,5157,5866
21,37211,75955,39340,36615,46637,23496,23141
22,37212,20803,9757,11046,16969,7878,9091
23,37213,95,86,9,76,76,0
24,37214,30528,14968,15560,24025,11392,12633
25,37215,22379,9989,12390,17874,7986,9888
26,37216,17848,8877,8971,14856,7510,7346
27,37217,30146,15018,15128,18346,8998,9348
28,37218,15721,7083,8638,12126,5319,6807
29,37219,1154,737,417,1111,724,387
30,37220,5880,2994,2886,4479,2126,2353
31,37221,41017,19437,21580,31187,13925,17262
32,37228,1615,708,907,1518,665,853
